Source,Target,Type,Weight,npmi
digital,estudos,Undirected,8.00,0.1854
digital,ciencia,Undirected,6.00,0.0238
digital,tecnologia,Undirected,30.00,0.3242
digital,tecnica,Undirected,6.00,0.1109
digital,grupo,Undirected,3.00,0.1580
digital,parte,Undirected,3.00,0.0490
digital,etnografia,Undirected,10.00,0.1948
digital,lado,Undirected,3.00,0.0923
digital,subcampos,Undirected,2.00,0.0820
digital,antropologia,Undirected,50.00,0.4812
digital,sociologia,Undirected,24.00,0.4130
digital,graduacao,Undirected,2.00,0.0855
digital,campo,Undirected,2.00,-0.0838
digital,metodo,Undirected,3.00,0.1215
digital,brasil,Undirected,6.00,0.2109
digital,cultura,Undirected,3.00,0.1451
digital,questao,Undirected,2.00,0.0927
digital,dado,Undirected,6.00,0.0623
digital,social,Undirected,2.00,0.0069
digital,reune,Undirected,4.00,0.1956
digital,figuras,Undirected,4.00,0.1358
digital,partir,Undirected,4.00,0.0403
digital,termo,Undirected,2.00,0.0362
digital,mundo,Undirected,3.00,0.1318
digital,conjunto,Undirected,2.00,0.0724
digital,imagem,Undirected,3.00,0.1492
digital,producao,Undirected,2.00,0.0279
digital,presenca,Undirected,3.00,0.1626
digital,vida,Undirected,2.00,0.1088
digital,inteligencia,Undirected,3.00,-0.1078
digital,artificial,Undirected,2.00,-0.1468
seguir,latour,Undirected,7.00,0.0967
seguir,ciencia,Undirected,4.00,0.0735
seguir,acao,Undirected,8.00,0.3566
seguir,ator,Undirected,9.00,0.2800
seguir,teoria,Undirected,2.00,0.0632
seguir,descrevo,Undirected,3.00,0.2471
seguir,passo,Undirected,3.00,0.2337
seguir,aime,Undirected,3.00,0.1002
seguir,analise,Undirected,2.00,0.0115
seguir,ocorrencias,Undirected,3.00,0.1152
seguir,rotulo,Undirected,2.00,0.0197
seguir,etnografia,Undirected,2.00,0.0830
seguir,propoe,Undirected,4.00,0.2876
seguir,leitura,Undirected,3.00,0.0871
seguir,maquina,Undirected,2.00,0.0763
seguir,tensao,Undirected,5.00,0.3357
seguir,cadeia,Undirected,6.00,0.2544
seguir,descrever,Undirected,2.00,0.1531
seguir,rede,Undirected,13.00,0.2441
seguir,tecnologia,Undirected,2.00,0.0383
seguir,sustenta,Undirected,2.00,0.1135
seguir,sistemas,Undirected,3.00,0.1262
seguir,trabalhos,Undirected,2.00,0.1900
seguir,textual,Undirected,2.00,0.1627
graduacao,sociais,Undirected,4.00,0.1615
graduacao,artigo,Undirected,2.00,0.1326
