Id,Label,community,frequency,degree_weighted,betweenness,pagerank
digital,digital,0,55,157.0000,0.001237,0.006090
lexical,lexical,1,25,133.0000,0.000000,0.005198
lado,lado,2,49,114.0000,0.000000,0.004841
teoria,teoria,2,88,455.0000,0.039167,0.013399
registro,registro,1,68,227.0000,0.000000,0.007704
sociologia,sociologia,0,34,140.0000,0.000825,0.005678
cadeia,cadeia,3,56,84.0000,0.000000,0.003827
ocorrencias,ocorrencias,1,85,434.0000,0.015667,0.013236
modelo,modelo,3,87,176.0000,0.009895,0.006673
openalex,openalex,0,37,158.0000,0.001649,0.006310
estudos,estudos,0,60,296.0000,0.000000,0.009047
densidade,densidade,1,61,349.0000,0.004741,0.011169
inteligencia,inteligencia,3,274,1592.0000,0.150484,0.041894
defesas,defesas,0,38,181.0000,0.000000,0.006478
figuras,figuras,0,41,133.0000,0.000618,0.005557
maior,maior,2,38,148.0000,0.000412,0.005742
sustenta,sustenta,1,54,171.0000,0.003917,0.006455
ciencia,ciencia,0,169,847.0000,0.150072,0.024241
descrever,descrever,2,37,133.0000,0.000000,0.005062
generativa,generativa,3,53,258.0000,0.009483,0.008113
palavras,palavras,1,49,285.0000,0.000000,0.009086
livros,livros,1,37,186.0000,0.000412,0.006638
ator,ator,2,76,382.0000,0.000000,0.011181
frequencia,frequencia,1,32,182.0000,0.001855,0.006605
figuracao,figuracao,1,116,483.0000,0.029685,0.014576
obras,obras,2,82,326.0000,0.011956,0.010650
conhecimento,conhecimento,0,99,223.0000,0.003504,0.008186
distribuicao,distribuicao,0,51,281.0000,0.006184,0.009466
catalogo,catalogo,1,88,447.0000,0.101422,0.014425
aparece,aparece,1,54,263.0000,0.000000,0.008668
action,action,4,59,407.0000,0.002061,0.012421
laboratory,laboratory,4,36,248.0000,0.016491,0.008276
maquina,maquina,3,77,258.0000,0.000412,0.008579
scielo,scielo,0,51,258.0000,0.023706,0.009190
conceito,conceito,2,70,243.0000,0.085962,0.008222
pratica,pratica,2,75,267.0000,0.014018,0.008959
antropologia,antropologia,0,72,305.0000,0.021645,0.010356
leitura,leitura,1,108,311.0000,0.010101,0.010519
producao,producao,0,52,171.0000,0.003504,0.006471
partir,partir,0,95,276.0000,0.000206,0.009472
recorte,recorte,0,39,105.0000,0.000000,0.004490
repositorio,repositorio,0,47,156.0000,0.008658,0.006134
topologia,topologia,1,44,257.0000,0.005154,0.008475
linguagem,linguagem,3,34,147.0000,0.000000,0.005621
dado,dado,0,121,282.0000,0.023913,0.010022
textil,textil,1,50,324.0000,0.000618,0.010339
figuracoes,figuracoes,2,90,316.0000,0.045145,0.010487
campo,campo,0,151,479.0000,0.024737,0.014745
termos,termos,1,77,229.0000,0.011338,0.007763
descricao,descricao,2,41,141.0000,0.000412,0.005448
pesquisa,pesquisa,3,78,235.0000,0.000206,0.007827
capes,capes,0,73,328.0000,0.103278,0.011082
corpus,corpus,0,48,187.0000,0.001443,0.006735
mediacao,mediacao,3,38,178.0000,0.000000,0.006486
tecnociencia,tecnociencia,2,86,363.0000,0.025356,0.011842
obra,obra,2,80,323.0000,0.006597,0.010281
base,base,0,41,123.0000,0.000000,0.005068
tecnologia,tecnologia,0,111,410.0000,0.032158,0.012675
lexicometrica,lexicometrica,2,32,178.0000,0.000000,0.006416
vocabulario,vocabulario,1,149,644.0000,0.170893,0.019150
social,social,0,64,100.0000,0.007421,0.004270
quadro,quadro,1,45,66.0000,0.000000,0.003359
aprendizado,aprendizado,3,53,262.0000,0.015255,0.008547
science,science,4,89,437.0000,0.020202,0.013449
area,area,0,62,265.0000,0.015873,0.008987
textual,textual,2,35,152.0000,0.000000,0.005607
objeto,objeto,3,100,364.0000,0.009276,0.011391
topologico,topologico,1,25,148.0000,0.000000,0.005399
life,life,4,40,260.0000,0.001031,0.008613
relacao,relacao,0,50,120.0000,0.000000,0.005003
etapa,etapa,1,60,277.0000,0.025356,0.009331
escrita,escrita,2,42,131.0000,0.008864,0.005194
humano,humano,0,145,569.0000,0.053597,0.016849
livro,livro,1,44,139.0000,0.000000,0.005385
rotulo,rotulo,1,136,742.0000,0.104308,0.021638
analise,analise,2,144,631.0000,0.075448,0.019820
hope,hope,4,40,293.0000,0.000000,0.009396
rotulos,rotulos,1,89,485.0000,0.029685,0.015221
clarifications,clarifications,1,32,146.0000,0.000000,0.005458
industria,industria,1,40,215.0000,0.000000,0.007011
aime,aime,1,97,458.0000,0.042672,0.014565
haraway,haraway,2,53,138.0000,0.001031,0.005326
artigos,artigos,1,67,300.0000,0.010307,0.009887
sistemas,sistemas,3,76,166.0000,0.010926,0.005943
interna,interna,0,25,74.0000,0.000000,0.003602
artificial,artificial,3,277,1628.0000,0.204700,0.042856
pandora,pandora,4,46,333.0000,0.029478,0.010478
tecnica,tecnica,3,80,283.0000,0.014224,0.009553
mostra,mostra,0,46,173.0000,0.000206,0.006475
rede,rede,2,163,623.0000,0.041435,0.018380
network,network,1,49,181.0000,0.001237,0.006393
latour,latour,2,253,945.0000,0.361163,0.027917
contagem,contagem,1,52,199.0000,0.000000,0.006898
militar,militar,1,162,1023.0000,0.160173,0.028958
secao,secao,2,57,162.0000,0.000000,0.006131
etnografia,etnografia,2,73,205.0000,0.005772,0.007190
sociais,sociais,0,56,232.0000,0.000000,0.007364
descreve,descreve,2,84,313.0000,0.047825,0.010153
parte,parte,2,65,208.0000,0.014842,0.007492
brasileira,brasileira,0,38,107.0000,0.000000,0.004767
