Id,Label,community,frequency,degree_weighted,betweenness,pagerank
seguir,seguir,4,74,393.0000,0.081163,0.014211
trajetoria,trajetoria,0,50,232.0000,0.030433,0.009172
sigo,sigo,2,23,127.0000,0.002793,0.005319
comercial,comercial,0,21,102.0000,0.001758,0.004648
unico,unico,1,15,42.0000,0.000000,0.002315
cientifico,cientifico,1,52,239.0000,0.052633,0.009204
corte,corte,2,24,92.0000,0.006465,0.004172
lado,lado,0,26,85.0000,0.000439,0.004006
unidos,unidos,7,19,92.0000,0.001758,0.004332
recursos,recursos,1,37,126.0000,0.006214,0.005353
registro,registro,3,24,105.0000,0.000000,0.004553
grupo,grupo,1,30,153.0000,0.008600,0.006187
cadeia,cadeia,2,27,95.0000,0.003295,0.004455
tornou,tornou,3,25,90.0000,0.000000,0.003949
modelo,modelo,6,71,228.0000,0.041083,0.009321
mundo,mundo,0,18,52.0000,0.000000,0.002754
empresas,empresas,0,21,59.0000,0.000000,0.002994
publico,publico,3,96,438.0000,0.113097,0.016164
instituicao,instituicao,3,64,229.0000,0.012115,0.008820
inteligencia,inteligencia,5,49,317.0000,0.030569,0.011179
fontes,fontes,1,19,55.0000,0.000000,0.002865
associacao,associacao,2,61,213.0000,0.011314,0.008314
brasileiro,brasileiro,5,24,135.0000,0.000502,0.005404
relatorios,relatorios,1,29,183.0000,0.007156,0.007268
hollerith,hollerith,0,63,301.0000,0.067070,0.011884
saude,saude,1,23,65.0000,0.000000,0.003104
diante,diante,0,16,73.0000,0.001004,0.003431
maior,maior,0,29,108.0000,0.001318,0.004801
acompanhei,acompanhei,3,18,81.0000,0.000063,0.003581
ciencia,ciencia,0,39,129.0000,0.007595,0.005527
inscricao,inscricao,2,18,64.0000,0.000063,0.003197
funcionamento,funcionamento,1,17,62.0000,0.000251,0.003109
ecossistemas,ecossistemas,5,16,64.0000,0.000000,0.003180
passagem,passagem,2,20,84.0000,0.000251,0.003925
periodo,periodo,1,20,68.0000,0.000000,0.003200
pergunta,pergunta,4,42,169.0000,0.007470,0.006730
descrevo,descrevo,2,35,176.0000,0.007972,0.006928
resposta,resposta,4,19,88.0000,0.000000,0.003863
conta,conta,0,23,68.0000,0.001475,0.003591
gente,gente,1,25,87.0000,0.000377,0.003951
ator,ator,2,65,299.0000,0.075419,0.011271
grupos,grupos,1,27,76.0000,0.000063,0.003497
infraestrutura,infraestrutura,0,59,255.0000,0.028702,0.010239
conhecimento,conhecimento,0,30,91.0000,0.000063,0.004274
aberto,aberto,6,22,105.0000,0.000251,0.004702
tomo,tomo,4,17,67.0000,0.000000,0.003311
historica,historica,5,23,118.0000,0.006277,0.005125
translacao,translacao,2,23,84.0000,0.015755,0.003973
fato,fato,0,18,64.0000,0.000000,0.003192
arranjo,arranjo,3,99,398.0000,0.028111,0.014759
laboratorio,laboratorio,3,69,284.0000,0.022174,0.010572
