Source,Target,Type,Weight,npmi
deteccao,projeto,Undirected,7.00,0.1398
deteccao,insuficiencia,Undirected,27.00,0.3932
deteccao,respiratoria,Undirected,17.00,0.2996
deteccao,analise,Undirected,8.00,0.1979
deteccao,spira,Undirected,7.00,0.0094
deteccao,sistema,Undirected,3.00,0.1063
deteccao,objeto,Undirected,15.00,0.2012
deteccao,distintos,Undirected,15.00,0.4064
deteccao,modelo,Undirected,3.00,0.0145
deteccao,covid,Undirected,9.00,0.2372
deteccao,dataset,Undirected,4.00,0.1513
deteccao,audio,Undirected,11.00,0.2240
deteccao,pandemico,Undirected,3.00,0.1488
deteccao,coleta,Undirected,3.00,0.0507
deteccao,dado,Undirected,5.00,0.0599
deteccao,diferentes,Undirected,3.00,0.1757
deteccao,covideiro,Undirected,3.00,-0.0215
deteccao,inscricao,Undirected,3.00,-0.0244
deteccao,tornou,Undirected,3.00,0.1765
deteccao,possivel,Undirected,3.00,0.1522
deteccao,condicoes,Undirected,3.00,0.0496
deteccao,partir,Undirected,3.00,0.0688
deteccao,dispositivo,Undirected,3.00,0.0998
algoritmo,humano,Undirected,4.00,0.0909
algoritmo,dado,Undirected,7.00,0.0532
algoritmo,treinamento,Undirected,7.00,0.2379
algoritmo,rede,Undirected,3.00,-0.0573
algoritmo,modelo,Undirected,3.00,-0.0299
algoritmo,celular,Undirected,3.00,0.0688
algoritmo,inscricao,Undirected,9.00,0.0559
algoritmo,treinado,Undirected,6.00,0.2491
algoritmo,cadeia,Undirected,4.00,-0.0293
algoritmo,distintas,Undirected,6.00,0.2007
algoritmo,torna,Undirected,4.00,0.0909
algoritmo,sistema,Undirected,3.00,0.0619
algoritmo,covideiro,Undirected,8.00,0.0442
algoritmo,spira,Undirected,3.00,-0.1270
algoritmo,aparece,Undirected,6.00,0.1886
algoritmo,espectrograma,Undirected,8.00,0.1239
algoritmo,audio,Undirected,3.00,0.0210
algoritmo,insuficiencia,Undirected,3.00,0.0195
algoritmo,imagem,Undirected,8.00,0.1654
algoritmo,argumento,Undirected,3.00,0.1055
